Ireland,51.5072,-0.1275
Saudi Arabia,24.63333,46.7167
Iraq,33.3333,44.4333
USA,38.9047,-77.0164
Turkey,41.0136,28.9550
Germany,53.3478,-6.2597
Democratic Republic of the Congo,-4.3250,15.3222
Greece,37.9667,23.7167
India,28.6139,77.2090
Russia,55.75,37.6167
Denmark,55.6761,12.5683
Italy,41.9000,12.5000
France,48.8567,2.3508
England,52.5167,13.3833
